INFO     | 2025-06-20 16:14:48,402 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2025-06-20 16:14:48,405 | config     | Setting 'alignment' to 'FcC_supermatrix.phy'
INFO     | 2025-06-20 16:14:48,405 | config     | Setting 'branchlengths' to 'unlinked'
INFO     | 2025-06-20 16:14:48,406 | parser     | You set 'models' to: all
INFO     | 2025-06-20 16:14:48,414 | model_load | This analysis will use the following 3 models of molecular evolution
INFO     | 2025-06-20 16:14:48,414 | model_load | GTR, GTR+G, GTR+I+G
INFO     | 2025-06-20 16:14:48,415 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2025-06-20 16:14:48,415 | config     | Setting 'search' to 'greedy'
INFO     | 2025-06-20 16:14:48,415 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2025-06-20 16:14:48,415 | config     | Looking for alignment file './FcC_supermatrix.phy'...
INFO     | 2025-06-20 16:14:48,416 | threadpool | Using 20 cpus
INFO     | 2025-06-20 16:14:48,416 | analysis   | Beginning Analysis
INFO     | 2025-06-20 16:14:48,482 | alignment  | Reading alignment file './FcC_supermatrix.phy'
INFO     | 2025-06-20 16:14:48,503 | analysis   | Starting tree will be estimated from the data.
INFO     | 2025-06-20 16:14:48,507 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2025-06-20 16:14:48,513 | raxml      | Using a separate GTR+G model for each data block
INFO     | 2025-06-20 16:14:51,127 | raxml      | Estimating GTR+G branch lengths on ML tree using all partitions
INFO     | 2025-06-20 16:14:56,536 | raxml      | ML topology estimation finished
INFO     | 2025-06-20 16:14:56,545 | analysis_m | Performing Greedy Analysis
INFO     | 2025-06-20 16:14:56,546 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2025-06-20 16:14:59,760 | progress   |       Finished subset 1/5, 20.00 percent done
INFO     | 2025-06-20 16:15:00,055 | progress   |       Finished subset 2/5, 40.00 percent done
INFO     | 2025-06-20 16:15:00,125 | progress   |       Finished subset 3/5, 60.00 percent done
INFO     | 2025-06-20 16:15:00,298 | progress   |       Finished subset 4/5, 80.00 percent done
INFO     | 2025-06-20 16:15:00,504 | progress   |       Finished subset 5/5, 100.00 percent done
INFO     | 2025-06-20 16:15:00,522 | analysis_m |    ***Greedy algorithm step 1***
INFO     | 2025-06-20 16:15:00,523 | analysis_m |       Analysing 10 new subset pairs
INFO     | 2025-06-20 16:15:05,730 | progress   |       Finished subset 1/10, 10.00 percent done
INFO     | 2025-06-20 16:15:06,057 | progress   |       Finished subset 2/10, 20.00 percent done
INFO     | 2025-06-20 16:15:06,183 | progress   |       Finished subset 3/10, 30.00 percent done
INFO     | 2025-06-20 16:15:06,263 | progress   |       Finished subset 4/10, 40.00 percent done
INFO     | 2025-06-20 16:15:06,326 | progress   |       Finished subset 5/10, 50.00 percent done
INFO     | 2025-06-20 16:15:06,410 | progress   |       Finished subset 6/10, 60.00 percent done
INFO     | 2025-06-20 16:15:06,642 | progress   |       Finished subset 7/10, 70.00 percent done
INFO     | 2025-06-20 16:15:06,780 | progress   |       Finished subset 8/10, 80.00 percent done
INFO     | 2025-06-20 16:15:06,837 | progress   |       Finished subset 9/10, 90.00 percent done
