INFO     | 2025-06-20 16:14:20,455 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2025-06-20 16:14:20,458 | config     | Setting 'alignment' to 'FcC_supermatrix.phy'
INFO     | 2025-06-20 16:14:20,458 | config     | Setting 'branchlengths' to 'unlinked'
INFO     | 2025-06-20 16:14:20,458 | parser     | You set 'models' to: all
INFO     | 2025-06-20 16:14:20,466 | model_load | This analysis will use the following 3 models of molecular evolution
INFO     | 2025-06-20 16:14:20,466 | model_load | GTR, GTR+G, GTR+I+G
INFO     | 2025-06-20 16:14:20,467 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2025-06-20 16:14:20,468 | config     | Setting 'search' to 'greedy'
INFO     | 2025-06-20 16:14:20,468 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2025-06-20 16:14:20,468 | config     | Looking for alignment file './FcC_supermatrix.phy'...
INFO     | 2025-06-20 16:14:20,468 | threadpool | Using 20 cpus
INFO     | 2025-06-20 16:14:20,468 | analysis   | Beginning Analysis
INFO     | 2025-06-20 16:14:20,523 | alignment  | Reading alignment file './FcC_supermatrix.phy'
INFO     | 2025-06-20 16:14:20,587 | analysis   | Starting tree will be estimated from the data.
INFO     | 2025-06-20 16:14:20,592 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2025-06-20 16:14:20,601 | raxml      | Using a separate GTR+G model for each data block
INFO     | 2025-06-20 16:14:25,291 | raxml      | Estimating GTR+G branch lengths on ML tree using all partitions
INFO     | 2025-06-20 16:14:28,012 | raxml      | ML topology estimation finished
INFO     | 2025-06-20 16:14:28,043 | analysis_m | Performing Greedy Analysis
INFO     | 2025-06-20 16:14:28,044 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2025-06-20 16:14:30,537 | progress   |       Finished subset 1/6, 16.67 percent done
INFO     | 2025-06-20 16:14:31,026 | progress   |       Finished subset 2/6, 33.33 percent done
INFO     | 2025-06-20 16:14:31,673 | progress   |       Finished subset 3/6, 50.00 percent done
INFO     | 2025-06-20 16:14:31,737 | progress   |       Finished subset 4/6, 66.67 percent done
INFO     | 2025-06-20 16:14:31,802 | progress   |       Finished subset 5/6, 83.33 percent done
INFO     | 2025-06-20 16:14:32,142 | progress   |       Finished subset 6/6, 100.00 percent done
INFO     | 2025-06-20 16:14:32,158 | analysis_m |    ***Greedy algorithm step 1***
INFO     | 2025-06-20 16:14:32,158 | analysis_m |       Analysing 15 new subset pairs
INFO     | 2025-06-20 16:14:35,218 | progress   |       Finished subset 1/15, 6.67 percent done
INFO     | 2025-06-20 16:14:35,942 | progress   |       Finished subset 2/15, 13.33 percent done
INFO     | 2025-06-20 16:14:37,296 | progress   |       Finished subset 3/15, 20.00 percent done
INFO     | 2025-06-20 16:14:37,506 | progress   |       Finished subset 4/15, 26.67 percent done
INFO     | 2025-06-20 16:14:37,659 | progress   |       Finished subset 5/15, 33.33 percent done
INFO     | 2025-06-20 16:14:38,137 | progress   |       Finished subset 6/15, 40.00 percent done
INFO     | 2025-06-20 16:14:38,276 | progress   |       Finished subset 7/15, 46.67 percent done
INFO     | 2025-06-20 16:14:38,664 | progress   |       Finished subset 8/15, 53.33 percent done
INFO     | 2025-06-20 16:14:38,837 | progress   |       Finished subset 9/15, 60.00 percent done
INFO     | 2025-06-20 16:14:39,210 | progress   |       Finished subset 10/15, 66.67 percent done
INFO     | 2025-06-20 16:14:39,350 | progress   |       Finished subset 11/15, 73.33 percent done
INFO     | 2025-06-20 16:14:39,537 | progress   |       Finished subset 12/15, 80.00 percent done
INFO     | 2025-06-20 16:14:39,664 | progress   |       Finished subset 13/15, 86.67 percent done
INFO     | 2025-06-20 16:14:39,719 | progress   |       Finished subset 14/15, 93.33 percent done
INFO     | 2025-06-20 16:14:39,874 | progress   |       Finished subset 15/15, 100.00 percent done
INFO     | 2025-06-20 16:14:39,875 | analysis_m |       Finding the best partitioning scheme
INFO     | 2025-06-20 16:14:39,878 | analysis_m |       Best scheme combines subsets: 'ITS' and '28S'
INFO     | 2025-06-20 16:14:39,879 | analysis_m |       The best scheme improves the aicc score by 445.06 to 13921.2
INFO     | 2025-06-20 16:14:39,897 | analysis_m |    ***Greedy algorithm step 2***
INFO     | 2025-06-20 16:14:39,897 | analysis_m |       Analysing 4 new subset pairs
INFO     | 2025-06-20 16:14:41,561 | progress   |       Finished subset 1/4, 25.00 percent done
INFO     | 2025-06-20 16:14:41,625 | progress   |       Finished subset 2/4, 50.00 percent done
INFO     | 2025-06-20 16:14:42,034 | progress   |       Finished subset 3/4, 75.00 percent done
INFO     | 2025-06-20 16:14:42,500 | progress   |       Finished subset 4/4, 100.00 percent done
INFO     | 2025-06-20 16:14:42,500 | analysis_m |       Finding the best partitioning scheme
INFO     | 2025-06-20 16:14:42,502 | analysis_m |       Best scheme combines subsets: 'COI-5P_pos2' and 'COI-5P_pos1'
INFO     | 2025-06-20 16:14:42,502 | analysis_m |       The best scheme improves the aicc score by 273.81 to 13647.4
INFO     | 2025-06-20 16:14:42,519 | analysis_m |    ***Greedy algorithm step 3***
INFO     | 2025-06-20 16:14:42,520 | analysis_m |       Analysing 3 new subset pairs
INFO     | 2025-06-20 16:14:44,297 | progress   |       Finished subset 1/3, 33.33 percent done
INFO     | 2025-06-20 16:14:44,480 | progress   |       Finished subset 2/3, 66.67 percent done
INFO     | 2025-06-20 16:14:44,733 | progress   |       Finished subset 3/3, 100.00 percent done
INFO     | 2025-06-20 16:14:44,734 | analysis_m |       Finding the best partitioning scheme
INFO     | 2025-06-20 16:14:44,735 | analysis_m |       Best scheme combines subsets: 'ITS, 28S' and 'COI-5P_pos2, COI-5P_pos1'
INFO     | 2025-06-20 16:14:44,735 | analysis_m |       The best scheme improves the aicc score by 141.35 to 13506.1
INFO     | 2025-06-20 16:14:44,776 | analysis_m |    ***Greedy algorithm step 4***
INFO     | 2025-06-20 16:14:44,777 | analysis_m |       Analysing 2 new subset pairs
INFO     | 2025-06-20 16:14:45,600 | progress   |       Finished subset 1/2, 50.00 percent done
INFO     | 2025-06-20 16:14:45,696 | progress   |       Finished subset 2/2, 100.00 percent done
INFO     | 2025-06-20 16:14:45,697 | analysis_m |       Finding the best partitioning scheme
INFO     | 2025-06-20 16:14:45,698 | analysis_m |       Best scheme combines subsets: '16S' and 'COI-5P_pos3'
INFO     | 2025-06-20 16:14:45,698 | analysis_m |       The best scheme improves the aicc score by 13.06 to 13493.0
INFO     | 2025-06-20 16:14:45,710 | analysis_m |    ***Greedy algorithm step 5***
INFO     | 2025-06-20 16:14:45,710 | analysis_m |       Analysing 1 new subset pairs
INFO     | 2025-06-20 16:14:46,777 | progress   |       Finished subset 1/1, 100.00 percent done
INFO     | 2025-06-20 16:14:46,777 | analysis_m |       Finding the best partitioning scheme
INFO     | 2025-06-20 16:14:46,777 | analysis_m |       Found no schemes that improve the score, stopping
INFO     | 2025-06-20 16:14:46,778 | analysis_m |    Greedy algorithm finished after 5 steps
INFO     | 2025-06-20 16:14:46,778 | analysis_m |    Best scoring scheme is scheme step_4, with aicc score of 13492.994
INFO     | 2025-06-20 16:14:46,781 | model_util |    Information on best scheme is here: ./analysis/best_scheme.txt
INFO     | 2025-06-20 16:14:46,803 | model_util |    
INFO     | 2025-06-20 16:14:46,803 | model_util |    
INFO     | 2025-06-20 16:14:46,803 | model_util |    *Citations for this analysis*
INFO     | 2025-06-20 16:14:46,803 | model_util |    -----------------------------
INFO     | 2025-06-20 16:14:46,803 | model_util |    
INFO     | 2025-06-20 16:14:46,803 | model_util |    If you use this analysis in your published work, please cite the following papers on which your analysis relied.
INFO     | 2025-06-20 16:14:46,803 | model_util |    
INFO     | 2025-06-20 16:14:46,803 | model_util |    For the version of PartitionFinder you used, please cite:
INFO     | 2025-06-20 16:14:46,804 | model_util |    Lanfear, R., Frandsen, P. B., Wright, A. M., Senfeld, T., Calcott, B. (2016) PartitionFinder 2: new methods for selecting partitioned models of evolution formolecular and morphological phylogenetic analyses. Molecular biology and evolution. DOI: dx.doi.org/10.1093/molbev/msw260
INFO     | 2025-06-20 16:14:46,804 | model_util |    
INFO     | 2025-06-20 16:14:46,804 | model_util |    For the greedy algorithm you used, please cite:
INFO     | 2025-06-20 16:14:46,804 | model_util |    Lanfear, R., Calcott, B., Ho, S. Y., & Guindon, S. (2012). PartitionFinder: combined selection of partitioning schemes and substitution models for phylogenetic analyses. Molecular biology and evolution, 29(6), 1695-1701.
INFO     | 2025-06-20 16:14:46,804 | model_util |    
INFO     | 2025-06-20 16:14:46,804 | model_util |    Your analysis also used RAxML, so please cite:
INFO     | 2025-06-20 16:14:46,804 | model_util |    Stamatakis, A. (2014). RAxML version 8: a tool for phylogenetic analysis and post-analysis of large phylogenies. Bioinformatics, 30(9), 1312-1313.
INFO     | 2025-06-20 16:14:46,804 | model_util |    
INFO     | 2025-06-20 16:14:46,815 | main       | Total processing time: 0:00:26 (h:m:s)
INFO     | 2025-06-20 16:14:46,815 | main       | Processing complete.
